country,city,long,lat,year_estab,year_start,year_end,pop_start,pop_end,probability,type,symbol,city_english,city_hebrew,city_yid,city_german,city_other,source,comment
Canada,St. John's,-52.7126,47.5615,1770,1770,1799,,,high,1,1,St. John's,,,,Saint John's,https://journals.lib.unb.ca/index.php/nflds/article/view/10131/10418,First Sephardic traders arrive post-English conquest
Canada,St. John's,-52.7126,47.5615,1770,1800,1908,,,high,1,1,St. John's,,,,Saint John's,https://www.jewishindependent.ca/jewish-life-in-newfoundland/,Earliest permanent settlers
Canada,St. John's,-52.7126,47.5615,1770,1909,1934,,215,high,1,1,St. John's,,,,Saint John's,https://www.jewishindependent.ca/jewish-life-in-newfoundland/,Beth El Synagogue founded
Canada,St. John's,-52.7126,47.5615,1770,1935,2024,215,,high,1,1,St. John's,,,,Saint John's,https://jewswerehere.com/americas/northamerica/canada/atlantic-region/,Census population
Canada,St. John's,-52.7126,47.5615,1770,1940s,1970,,360,high,1,1,St. John's,,,,Saint John's,https://thecjn.ca/uncategorized/st-johns-jewish-community-one-of-the-oldest-in-canada/,Peak of 75-100 families
Canada,St. John's,-52.7126,47.5615,1770,1971,2020,360,,high,1,1,St. John's,,,,Saint John's,https://jewswerehere.com/americas/northamerica/canada/atlantic-region/,Peak population
Canada,St. John's,-52.7126,47.5615,1770,2021,2024,,,high,1,1,St. John's,,,,Saint John's,https://www.jewishindependent.ca/jewish-life-in-newfoundland/,Ongoing small community
Canada,Sydney,-60.1943,46.1368,1901,1901,1940,162,939,high,1,1,Sydney,סידני,סידני,Sydney,Sydney,https://diversitycapebreton.ca/content/jewish-life-and-belonging-cape-breton-island,Census population in Glace Bay area
Canada,Sydney,-60.1943,46.1368,1901,1941,2024,939,,high,1,1,Sydney,סידני,סידני,Sydney,Sydney,https://theajc.ca/history/the-jewish-community-of-cape-breton/,Peak population on Cape Breton
Canada,Sydney,-60.1943,46.1368,1901,1980s,2018,,,high,1,1,Sydney,סידני,סידני,Sydney,Sydney,https://reformjudaism.org/reform-jewish-life/jewish-life-israel-and-around-world/discovering-nova-scotia,Decline due to coal mine closures
Canada,Sydney,-60.1943,46.1368,1901,2019,2019,,~250,medium,1,1,Sydney,סידני,סידני,Sydney,Sydney,https://www.saltwire.com/nova-scotia/looking-back-on-jewish-communitys-impact-on-life-in-cape-breton-291378,Approximately 87 Jewish homes
Canada,Sydney,-60.1943,46.1368,1901,2020,2024,~250,,high,1,1,Sydney,סידני,סידני,Sydney,Sydney,https://theajc.ca/history/the-jewish-community-of-cape-breton/,Estimate based on 87 homes (avg 3 per home)
Jamaica,Kingston,-76.7927,17.9712,1655,1655,1659,,,high,1,1,Kingston,,,Kingston,Kingston,https://en.wikipedia.org/wiki/History_of_the_Jews_in_Jamaica,English conquest brings Marranos
Jamaica,Kingston,-76.7927,17.9712,1655,1660,1719,,,high,1,1,Kingston,,,Kingston,Kingston,https://www.myjewishlearning.com/article/the-jewish-community-of-jamaica/,Shaare Shalom Synagogue founded
Jamaica,Kingston,-76.7927,17.9712,1655,1720,1880,,22000,high,1,1,Kingston,,,Kingston,Kingston,https://en.wikipedia.org/wiki/History_of_the_Jews_in_Jamaica,18% of Kingston population Jewish
Jamaica,Kingston,-76.7927,17.9712,1655,1881,1881,22000,,high,1,1,Kingston,,,Kingston,Kingston,https://www.myjewishlearning.com/article/the-jewish-community-of-jamaica/,Peak population on island
Jamaica,Kingston,-76.7927,17.9712,1655,1882,1900,,2400,high,1,1,Kingston,,,Kingston,Kingston,https://sephardicu.com/communities/other-communities/jamaican-jews/,Great Fire destroys synagogues
Jamaica,Kingston,-76.7927,17.9712,1655,1901,2019,2400,450,high,1,1,Kingston,,,Kingston,Kingston,https://www.jewishencyclopedia.com/articles/8506-jamaica,Census population
Jamaica,Kingston,-76.7927,17.9712,1655,2020,2024,450,,high,1,1,Kingston,,,Kingston,Kingston,https://www.worldjewishcongress.org/en/about/communities/JM,"Current island population, majority in Kingston"
Puerto Rico,San Juan,-66.1057,18.4655,1493,1493,1897,,,high,1,1,San Juan,,,San Juan,Sant Chuan,https://en.wikipedia.org/wiki/History_of_the_Jews_in_Puerto_Rico,Conversos arrive with Columbus
Puerto Rico,San Juan,-66.1057,18.4655,1493,1898,1939,,150,high,1,1,San Juan,,,San Juan,Sant Chuan,https://www.worldjewishcongress.org/en/about/communities/pr,Open immigration post-Spanish-American War
Puerto Rico,San Juan,-66.1057,18.4655,1493,1940,1949,150,,high,1,1,San Juan,,,San Juan,Sant Chuan,https://www.encyclopedia.com/religion/encyclopedias-almanacs-transcripts-and-maps/puerto-rico-0,Pre-WWII population
Puerto Rico,San Juan,-66.1057,18.4655,1493,1950,1969,,,high,1,1,San Juan,,,San Juan,Sant Chuan,https://www.hadassahmagazine.org/2013/12/10/jewish-traveler-puerto-rico/,First synagogue Shaare Zedek founded
Puerto Rico,San Juan,-66.1057,18.4655,1493,1970,1999,,,high,1,1,San Juan,,,San Juan,Sant Chuan,https://www.hadassahmagazine.org/2013/12/10/jewish-traveler-puerto-rico/,Second synagogue Shaare Shalom
Puerto Rico,San Juan,-66.1057,18.4655,1493,2000,2019,,3000,high,1,1,San Juan,,,San Juan,Sant Chuan,https://www.hadassahmagazine.org/2013/12/10/jewish-traveler-puerto-rico/,Chabad center established
Puerto Rico,San Juan,-66.1057,18.4655,1493,2020,2024,3000,,high,1,1,San Juan,,,San Juan,Sant Chuan,https://en.wikipedia.org/wiki/History_of_the_Jews_in_Puerto_Rico,Largest Caribbean Jewish community
