country,city,long,lat,year_estab,year_start,year_end,pop_start,pop_end,probability,type,symbol,city_english,city_hebrew,city_yid,city_german,city_other,source,comment
Azerbaijan,Baku,49.8671,40.4093,586,-586,1810,,,high,1,1,Baku,באקו,באקו,Baku,Bakı,https://en.wikipedia.org/wiki/History_of_the_Jews_in_Azerbaijan,Jewish settlement after Babylonian exile
Azerbaijan,Baku,49.8671,40.4093,586,1811,1909,,,high,1,1,Baku,באקו,באקו,Baku,Bakı,https://www.worldjewishcongress.org/en/about/communities/AZ,First Ashkenazi Jews settle
Azerbaijan,Baku,49.8671,40.4093,586,1910,1925,,,high,1,1,Baku,באקו,באקו,Baku,Bakı,https://www.worldjewishcongress.org/en/about/communities/AZ,Ashkenazi outnumber local Mountain Jews
Azerbaijan,Baku,49.8671,40.4093,586,1926,1938,,,high,1,1,Baku,באקו,באקו,Baku,Bakı,https://en.wikipedia.org/wiki/History_of_the_Jews_in_Azerbaijan,"Part of national 7,500 Mountain Jews"
Azerbaijan,Baku,49.8671,40.4093,586,1939,1944,,,high,1,1,Baku,באקו,באקו,Baku,Bakı,https://en.wikipedia.org/wiki/History_of_the_Jews_in_Azerbaijan,"National Jewish population stable around 30,000"
Azerbaijan,Baku,49.8671,40.4093,586,1945,1988,,,high,1,1,Baku,באקו,באקו,Baku,Bakı,https://www.jewishvirtuallibrary.org/azerbaijan-virtual-jewish-history-tour,"~49,500 Jews nationally, majority in Baku"
Azerbaijan,Baku,49.8671,40.4093,586,1989,1990,,,high,1,1,Baku,באקו,באקו,Baku,Bakı,https://en.wikipedia.org/wiki/History_of_the_Jews_in_Azerbaijan,"National Jewish population ~30,000"
Azerbaijan,Baku,49.8671,40.4093,586,1991,2001,,,high,1,1,Baku,באקו,באקו,Baku,Bakı,https://www.jewishvirtuallibrary.org/azerbaijan-virtual-jewish-history-tour,"Independence, mass emigration begins"
Azerbaijan,Baku,49.8671,40.4093,586,2002,2001,,,high,1,1,Baku,באקו,באקו,Baku,Bakı,https://en.wikipedia.org/wiki/History_of_the_Jews_in_Azerbaijan,"National Jewish population 10,000"
Azerbaijan,Baku,49.8671,40.4093,586,2002,2002,,,high,1,1,Baku,באקו,באקו,Baku,Bakı,https://www.ceeol.com/search/article-detail?id=469764,"Ashkenazi ~4,300 nationally, mostly in Baku"
Azerbaijan,Baku,49.8671,40.4093,586,2003,2009,,6400,high,1,1,Baku,באקו,באקו,Baku,Bakı,https://www.jewishvirtuallibrary.org/azerbaijan-virtual-jewish-history-tour,Jewish school opens
Azerbaijan,Baku,49.8671,40.4093,586,2010,2011,6400,17400,high,1,1,Baku,באקו,באקו,Baku,Bakı,https://en.wikipedia.org/wiki/History_of_the_Jews_in_Azerbaijan,National Jewish population
Azerbaijan,Baku,49.8671,40.4093,586,2012,2015,17400,30000,high,1,1,Baku,באקו,באקו,Baku,Bakı,https://en.wikipedia.org/wiki/History_of_the_Jews_in_Azerbaijan,"National Jewish population, 95% in Baku"
Azerbaijan,Baku,49.8671,40.4093,586,2016,2019,30000,30000,high,1,1,Baku,באקו,באקו,Baku,Bakı,https://www.hidabroot.org/article/1182402,National Jewish population
Azerbaijan,Baku,49.8671,40.4093,586,2020,2021,30000,,high,1,1,Baku,באקו,באקו,Baku,Bakı,https://themedialine.org/by-region/we-feel-safer-here-than-in-europe-unique-jewish-muslim-ties-in-shiite-majority-azerbaijan/,National Jewish population
Azerbaijan,Baku,49.8671,40.4093,586,2022,2022,,30000,high,1,1,Baku,באקו,באקו,Baku,Bakı,https://www.jewishvirtuallibrary.org/azerbaijan-virtual-jewish-history-tour,Three synagogues active
Azerbaijan,Baku,49.8671,40.4093,586,2023,2024,30000,30000,high,1,1,Baku,באקו,באקו,Baku,Bakı,https://www.jns.org/jns/azerbaijan/23/6/7/293388/,National Jewish population
Azerbaijan,Baku,49.8671,40.4093,586,2025,2024,30000,,high,1,1,Baku,באקו,באקו,Baku,Bakı,https://www.jdc.org/learn/countries/azerbaijan/,National Jewish population estimate
Azerbaijan,Qırmızı Qəsəbə,48.5333,41.4333,1730,1730,1855,,3000,high,1,1,Qırmızı Qəsəbə,קירמיזי קסבה,,Qırmızı Qəsəbə,القصبة القرمزية,https://en.wikipedia.org/wiki/Q%C4%B1rm%C4%B1z%C4%B1_Q%C9%99s%C9%99b%C9%99,Formal establishment as Jewish settlement by Quba Khan
Azerbaijan,Qırmızı Qəsəbə,48.5333,41.4333,1730,1856,1872,3000,5120,high,1,1,Qırmızı Qəsəbə,קירמיזי קסבה,,Qırmızı Qəsəbə,القصبة القرمزية,https://www.worldjewishtravel.org/listing/the-jewish-story-of-guba,Population
Azerbaijan,Qırmızı Qəsəbə,48.5333,41.4333,1730,1873,1885,5120,6280,high,1,1,Qırmızı Qəsəbə,קירמיזי קסבה,,Qırmızı Qəsəbə,القصبة القرمزية,https://www.worldjewishtravel.org/listing/the-jewish-story-of-guba,Population
Azerbaijan,Qırmızı Qəsəbə,48.5333,41.4333,1730,1886,1915,6280,8400,high,1,1,Qırmızı Qəsəbə,קירמיזי קסבה,,Qırmızı Qəsəbə,القصبة القرمزية,https://www.worldjewishtravel.org/listing/the-jewish-story-of-guba,Population
Azerbaijan,Qırmızı Qəsəbə,48.5333,41.4333,1730,1916,1925,8400,,high,1,1,Qırmızı Qəsəbə,קירמיזי קסבה,,Qırmızı Qəsəbə,القصبة القرمزية,https://www.worldjewishtravel.org/listing/the-jewish-story-of-guba,Record population
Azerbaijan,Qırmızı Qəsəbə,48.5333,41.4333,1730,1926,1938,,,high,1,1,Qırmızı Qəsəbə,קירמיזי קסבה,,Qırmızı Qəsəbə,القصبة القرمزية,https://en.wikipedia.org/wiki/History_of_the_Jews_in_Azerbaijan,"Part of national 7,500 Mountain Jews"
Azerbaijan,Qırmızı Qəsəbə,48.5333,41.4333,1730,1939,1990,,18000,high,1,1,Qırmızı Qəsəbə,קירמיזי קסבה,,Qırmızı Qəsəbə,القصبة القرمزية,https://en.wikipedia.org/wiki/History_of_the_Jews_in_Azerbaijan,"National Jewish population stable around 30,000"
Azerbaijan,Qırmızı Qəsəbə,48.5333,41.4333,1730,1991,2009,18000,3598,high,1,1,Qırmızı Qəsəbə,קירמיזי קסבה,,Qırmızı Qəsəbə,القصبة القرمزية,https://newlinesmag.com/essays/how-the-mountain-jews-of-azerbaijan-endure/,Peak population
Azerbaijan,Qırmızı Qəsəbə,48.5333,41.4333,1730,2010,2015,3598,3500,high,1,1,Qırmızı Qəsəbə,קירמיזי קסבה,,Qırmızı Qəsəbə,القصبة القرمزية,https://en.wikipedia.org/wiki/Q%C4%B1rm%C4%B1z%C4%B1_Q%C9%99s%C9%99b%C9%99,Population
Azerbaijan,Qırmızı Qəsəbə,48.5333,41.4333,1730,2016,2019,3500,3500,high,1,1,Qırmızı Qəsəbə,קירמיזי קסבה,,Qırmızı Qəsəbə,القصبة القرمزية,https://www.euronews.com/culture/2021/02/25/discover-the-centuries-old-culture-of-mountain-jews-in-azerbaijan,Population estimate
