country,city,long,lat,year_estab,year_start,year_end,pop_start,pop_end,probability,type,symbol,city_english,city_hebrew,city_yid,city_german,city_other,source,comment
USA,Honolulu,-157.8583,21.3069,1820,1820,1839,,,high,1,1,Honolulu,הונולולו,האנאלולו,Honolulu,Honolulu,https://www.jewishvirtuallibrary.org/hawaii-virtual-jewish-history-tour,First Jewish traders arrive from England and Germany
USA,Honolulu,-157.8583,21.3069,1820,1840,1869,,,high,1,1,Honolulu,הונולולו,האנאלולו,Honolulu,Honolulu,https://www.jewishvirtuallibrary.org/hawaii-virtual-jewish-history-tour,Small number of Jewish merchants settle
USA,Honolulu,-157.8583,21.3069,1820,1870,1899,,,high,1,1,Honolulu,הונולולו,האנאלולו,Honolulu,Honolulu,https://www.shaloha.com/a-history-of-jews-in-hawaii.html,Jewish population grows to about 50
USA,Honolulu,-157.8583,21.3069,1820,1900,1937,,35,high,1,1,Honolulu,הונולולו,האנאלולו,Honolulu,Honolulu,https://www.shaloha.com/a-history-of-jews-in-hawaii.html,Kehilath Shalom congregation forms informally
USA,Honolulu,-157.8583,21.3069,1820,1938,1949,35,1000,high,1,1,Honolulu,הונולולו,האנאלולו,Honolulu,Honolulu,https://www.shaloha.com/a-history-of-jews-in-hawaii.html,Organized community of 35 families
USA,Honolulu,-157.8583,21.3069,1820,1950,1969,1000,2000,high,1,1,Honolulu,הונולולו,האנאלולו,Honolulu,Honolulu,https://www.jewishvirtuallibrary.org/hawaii-virtual-jewish-history-tour,Post-WWII growth including military
USA,Honolulu,-157.8583,21.3069,1820,1970,2019,2000,15000,high,1,1,Honolulu,הונולולו,האנאלולו,Honolulu,Honolulu,https://www.jewishvirtuallibrary.org/hawaii-virtual-jewish-history-tour,Peak Jewish population estimate
USA,Honolulu,-157.8583,21.3069,1820,2020,2024,15000,,high,1,1,Honolulu,הונולולו,האנאלולו,Honolulu,Honolulu,https://www.worldjewishcongress.org/en/about/communities/US,Current estimate including transients
Fiji,Suva,178.4211,-18.1416,1881,1881,1899,,,high,1,1,Suva,סובה,,Suva,Suva,https://www.jewishvirtuallibrary.org/fiji-virtual-jewish-history-tour,"Henry Mark, first Jew, settles as trader"
Fiji,Suva,178.4211,-18.1416,1881,1900,1919,,,high,1,1,Suva,סובה,,Suva,Suva,https://www.jewishvirtuallibrary.org/fiji-virtual-jewish-history-tour,Small Jewish merchant community forms
Fiji,Suva,178.4211,-18.1416,1881,1920,1939,,,high,1,1,Suva,סובה,,Suva,Suva,https://en.wikipedia.org/wiki/History_of_the_Jews_in_Fiji,Jewish population around 20
Fiji,Suva,178.4211,-18.1416,1881,1940,1949,,,high,1,1,Suva,סובה,,Suva,Suva,https://www.jewishvirtuallibrary.org/fiji-virtual-jewish-history-tour,WWII refugees increase numbers temporarily
Fiji,Suva,178.4211,-18.1416,1881,1950,2019,,100,high,1,1,Suva,סובה,,Suva,Suva,https://www.jewishvirtuallibrary.org/fiji-virtual-jewish-history-tour,Synagogue established in Suva
Fiji,Suva,178.4211,-18.1416,1881,2020,2024,100,,high,1,1,Suva,סובה,,Suva,Suva,https://www.worldjewishcongress.org/en/about/communities/FJ,Current Jewish population estimate
Samoa,Apia,-171.7667,-13.8333,1840,1840,1899,,,high,1,1,Apia,,,Apia,Apia,https://www.jewishvirtuallibrary.org/samoa-virtual-jewish-history-tour,First Jewish traders arrive from Europe
Samoa,Apia,-171.7667,-13.8333,1840,1900,1949,,,high,1,1,Apia,,,Apia,Apia,https://www.jewishvirtuallibrary.org/samoa-virtual-jewish-history-tour,Small Jewish merchant community
Samoa,Apia,-171.7667,-13.8333,1840,1950,1979,,,high,1,1,Apia,,,Apia,Apia,https://www.jewishvirtuallibrary.org/samoa-virtual-jewish-history-tour,Post-WWII growth to about 50
Samoa,Apia,-171.7667,-13.8333,1840,1980,2019,,20,high,1,1,Apia,,,Apia,Apia,https://www.worldjewishcongress.org/en/about/communities/WS,Synagogue services begin informally
Samoa,Apia,-171.7667,-13.8333,1840,2020,2024,20,,high,1,1,Apia,,,Apia,Apia,https://www.worldjewishcongress.org/en/about/communities/WS,Current small community estimate
French Polynesia,Papeete,-149.5667,-17.5333,1830,1830,1899,,,high,1,1,Papeete,פפאטה,,Papeete,Papeete,https://www.jewishvirtuallibrary.org/french-polynesia-virtual-jewish-history-tour,First Jewish traders from Europe settle
