country,city,long,lat,year_estab,year_start,year_end,pop_start,pop_end,probability,type,symbol,city_english,city_hebrew,city_yid,city_german,city_other,source,comment
Czech Republic,Prague,14.4214,50.0875,970,970,1090,10,,high,1,1,Prague,פראג,פראג,Prag,Praha,Ibrāhīm ibn Yaʿqūb report (c.970),First mention of Jewish presence
Czech Republic,Prague,14.4214,50.0875,970,1091,1141,,,high,1,1,Prague,פראג,פראג,Prag,Praha,https://yivoencyclopedia.org/article.aspx/Prague,Jewish settlement near Vyšehrad Castle
Czech Republic,Prague,14.4214,50.0875,970,1142,1253,,,high,1,1,Prague,פראג,פראג,Prag,Praha,https://yivoencyclopedia.org/article.aspx/Prague,Old synagogue and quarter burned
Czech Republic,Prague,14.4214,50.0875,970,1254,1261,,,high,1,1,Prague,פראג,פראג,Prag,Praha,https://yivoencyclopedia.org/article.aspx/Prague,Statuta Judaeorum privileges granted
Czech Republic,Prague,14.4214,50.0875,970,1262,1388,,,high,1,1,Prague,פראג,פראג,Prag,Praha,https://yivoencyclopedia.org/article.aspx/Prague,Statuta Judaeorum privileges reconfirmed
Czech Republic,Prague,14.4214,50.0875,970,1389,1500,,,high,1,1,Prague,פראג,פראג,Prag,Praha,https://yivoencyclopedia.org/article.aspx/Prague,Massacre of Jews at Easter
Czech Republic,Prague,14.4214,50.0875,970,1501,1521,,600,high,1,1,Prague,פראג,פראג,Prag,Praha,https://yivoencyclopedia.org/article.aspx/Prague,Privileges reaffirmed by nobility
Czech Republic,Prague,14.4214,50.0875,970,1522,1540,600,1200,high,1,1,Prague,פראג,פראג,Prag,Praha,https://yivoencyclopedia.org/article.aspx/Prague,Pre-expulsion community size
Czech Republic,Prague,14.4214,50.0875,970,1541,1542,1200,,high,1,1,Prague,פראג,פראג,Prag,Praha,https://yivoencyclopedia.org/article.aspx/Prague,Community growth and quarter extension
Czech Republic,Prague,14.4214,50.0875,970,1543,1558,,,high,1,1,Prague,פראג,פראג,Prag,Praha,https://yivoencyclopedia.org/article.aspx/Prague,Expulsion of Jews by Ferdinand I
Czech Republic,Prague,14.4214,50.0875,970,1559,1566,,,high,1,1,Prague,פראג,פראג,Prag,Praha,https://yivoencyclopedia.org/article.aspx/Prague,Second expulsion of Jews
Czech Republic,Prague,14.4214,50.0875,970,1567,1599,,6000,high,1,1,Prague,פראג,פראג,Prag,Praha,https://yivoencyclopedia.org/article.aspx/Prague,Imperial charter easing restrictions
Czech Republic,Prague,14.4214,50.0875,970,1600,1723,6000,~11675,high,1,1,Prague,פראג,פראג,Prag,Praha,https://iajgsjewishcemeteryproject.org/czech-republic/prague.html,Estimate of community at start of 17th century
Czech Republic,Prague,14.4214,50.0875,970,1724,1781,~11675,,high,1,1,Prague,פראג,פראג,Prag,Praha,Book of Jewish Familianten (1724),Estimate based on family count (2335 families)
Czech Republic,Prague,14.4214,50.0875,970,1782,1847,,10000,high,1,1,Prague,פראג,פראג,Prag,Praha,https://en.wikipedia.org/wiki/History_of_the_Jews_in_Prague,Edict of Tolerance granted trade rights
Czech Republic,Prague,14.4214,50.0875,970,1848,1938,10000,56000,high,1,1,Prague,פראג,פראג,Prag,Praha,https://iajgsjewishcemeteryproject.org/czech-republic/prague.html,Community size estimate
Czech Republic,Prague,14.4214,50.0875,970,1939,1938,56000,92000,high,1,1,Prague,פראג,פראג,Prag,Praha,https://iajgsjewishcemeteryproject.org/czech-republic/prague.html,Jewish population at Nazi occupation
Czech Republic,Prague,14.4214,50.0875,970,1939,1940,92000,,high,1,1,Prague,פראג,פראג,Prag,Praha,https://en.wikipedia.org/wiki/History_of_the_Jews_in_Prague,Jewish population at WWII outbreak
Czech Republic,Prague,14.4214,50.0875,970,1941,1944,,,high,1,1,Prague,פראג,פראג,Prag,Praha,https://iajgsjewishcemeteryproject.org/czech-republic/prague.html,Holocaust deportations began
Czech Republic,Prague,14.4214,50.0875,970,1945,1947,,11000,high,1,1,Prague,פראג,פראג,Prag,Praha,https://en.wikipedia.org/wiki/History_of_the_Jews_in_Prague,Holocaust devastation – community destroyed
Czech Republic,Prague,14.4214,50.0875,970,1948,1949,11000,,high,1,1,Prague,פראג,פראג,Prag,Praha,https://iajgsjewishcemeteryproject.org/czech-republic/prague.html,Post-war survivors
Czech Republic,Prague,14.4214,50.0875,970,1950,1967,,2000,high,1,1,Prague,פראג,פראג,Prag,Praha,https://iajgsjewishcemeteryproject.org/czech-republic/prague.html,Mass emigration following Communist takeover
Czech Republic,Prague,14.4214,50.0875,970,1968,1988,2000,,high,1,1,Prague,פראג,פראג,Prag,Praha,https://iajgsjewishcemeteryproject.org/czech-republic/prague.html,Community decline under Communist regime
Czech Republic,Prague,14.4214,50.0875,970,1989,2024,,,high,1,1,Prague,פראג,פראג,Prag,Praha,https://iajgsjewishcemeteryproject.org/czech-republic/prague.html,Community revival post-Communist regime
