polygon_coordinates,color,fillColor,fillOpacity,year_start,year_end,description_eng,description_heb,source,type
"((35.2,33.3),(35.6,33.2),(35.7,32.9),(35.8,32.5),(35.9,32.0),(35.8,31.5),(35.6,31.2),(35.2,31.0),(34.8,31.0),(34.4,31.1),(34.2,31.3),(34.1,31.6),(34.2,32.0),(34.3,32.4),(34.5,32.7),(34.8,33.0),(35.2,33.3))",#8B4513,#A0522D,0.2,-1025,-928,Kingdom of Israel (United Monarchy period),ממלכת ישראל המאוחדת,https://en.wikipedia.org/wiki/Kingdom_of_Israel_(united_monarchy),10
"((35.2,33.3),(35.6,33.2),(35.7,32.9),(35.8,32.5),(35.6,32.2),(35.4,32.0),(35.2,31.9),(34.8,31.9),(34.4,32.0),(34.2,32.2),(34.3,32.4),(34.5,32.7),(34.8,33.0),(35.2,33.3))",#8B4513,#A0522D,0.2,-928,-722,Kingdom of Israel (Northern Kingdom),ממלכת ישראל (הממלכה הצפונית),https://en.wikipedia.org/wiki/Kingdom_of_Israel_(Samaria),10
"((35.4,32.0),(35.6,31.8),(35.8,31.5),(35.6,31.2),(35.2,31.0),(34.8,31.0),(34.4,31.1),(34.2,31.3),(34.1,31.6),(34.2,31.9),(34.4,32.0),(35.4,32.0))",#8B4513,#A0522D,0.2,-928,-586,Kingdom of Judah (Southern Kingdom),ממלכת יהודה (הממלכה הדרומית),https://en.wikipedia.org/wiki/Kingdom_of_Judah,10
"((35.15,31.85),(35.25,31.85),(35.25,31.75),(35.15,31.75),(35.15,31.85))",#e67e22,#f39c12,0.18,-586,-516,Babylonian administrative zone around Jerusalem during exile period,אזור מנהלי בבלי סביב ירושלים בתקופת הגלות,https://en.wikipedia.org/wiki/Babylonian_exile,1
"((44.0,32.0),(46.0,32.2),(47.5,32.8),(48.5,33.5),(48.8,34.2),(48.5,34.8),(47.5,35.2),(46.0,35.0),(44.5,34.5),(44.0,33.8),(43.8,33.0),(44.0,32.0))",#8B4513,#A0522D,0.2,-586,-538,Babylonian Exile - Jewish communities in Mesopotamia,גלות בבל - קהילות יהודיות במסופוטמיה,https://en.wikipedia.org/wiki/Babylonian_captivity,3
"((35.0,32.2),(35.8,32.0),(36.0,31.5),(35.8,31.0),(35.4,30.8),(34.8,30.9),(34.2,31.2),(33.9,31.6),(34.0,32.0),(34.4,32.2),(35.0,32.2))",#8B4513,#A0522D,0.2,-538,-332,Second Temple period - Persian rule,תקופת בית שני - שלטון פרס,https://en.wikipedia.org/wiki/Second_Temple,10
"((34.8,33.2),(36.0,33.0),(36.2,32.5),(36.0,31.8),(35.8,31.2),(35.4,30.7),(34.6,30.8),(33.8,31.2),(33.6,31.8),(33.8,32.4),(34.2,32.8),(34.8,33.2))",#8B4513,#A0522D,0.2,-332,-63,Hasmonean Kingdom,ממלכת החשמונאים,https://en.wikipedia.org/wiki/Hasmonean_dynasty,10
"((35.0,32.5),(35.8,32.2),(36.0,31.6),(35.8,31.0),(35.2,30.8),(34.6,30.9),(34.0,31.3),(33.8,31.8),(34.0,32.2),(34.4,32.4),(35.0,32.5))",#8B4513,#A0522D,0.2,-63,70,Roman Judea,יהודה תחת שלטון רומא,https://en.wikipedia.org/wiki/Judea_(Roman_province),10
"((29.85,31.25),(29.95,31.25),(29.95,31.15),(29.85,31.15),(29.85,31.25))",#c0392b,#e74c3c,0.15,38,38,Alexandria pogrom against the Jewish community,פוגרום אלכסנדריה נגד הקהילה היהודית,https://en.wikipedia.org/wiki/Alexandria_in_Antiquity#Jewish_history,9
"((35.0,33.3),(35.6,33.2),(35.8,32.8),(35.6,32.5),(35.2,32.4),(34.8,32.5),(34.6,32.8),(34.8,33.1),(35.0,33.3))",#8B4513,#A0522D,0.15,200,500,Talmudic period - Jewish centers in Galilee,תקופת התלמוד - מרכזים יהודיים בגליל,https://en.wikipedia.org/wiki/Talmud,11
