country,city,long,lat,yead_estab,year_start,year_end,pop_start,pop_end,probability,type,symbol,city_english,city_hebrew,city_yid,city_german,city_other,source,comment,,
Germany,Aach,8.85384,47.8424,1518,1518,1942,30,30,,,,,אאך,,,,AACH - JewishEncyclopedia.com,,,
Germany,Aachen,6.08342,50.77664,802,802,1942,30,30,,,,,אאכן,,,Aix-la-Chapelle,https://he.wikipedia.org/wiki/%D7%90%D7%90%D7%9B%D7%9F,,,
Germany,Aachen,6.08342,50.77664,797,797,1942,30,30,,,,,אאכן,,,Aix-la-Chapelle,https://www.jewishvirtuallibrary.org/aachen,,,
Germany,Aachen,6.08342,50.77664,0,,1942,30,30,,,,,אאכן,,,Aix-la-Chapelle,AIX-LA-CHAPELLE (AACHEN) - JewishEncyclopedia.com,,,
Switzerland,Aarau,8.04422,47.39254,1349,1349,1942,30,30,,,,,אראו,,,,BLACK DEATH - JewishEncyclopedia.com,,,
Switzerland,Aarburg,7.8993599,47.3206417,1349,1349,1942,30,30,,,,,אארבורג,,,,BLACK DEATH - JewishEncyclopedia.com,,,
Switzerland,Aargau (Endingen and Lengnau),8.172097,47.420629,0,,1942,30,30,,,,,ארגאו,,,,https://www.jewishvirtuallibrary.org/aargau,,,
France,Achenheim,7.62803,48.5807,1349,1349,1942,30,30,,,,,אכנהיים,,,,BLACK DEATH - JewishEncyclopedia.com,,,
Germany,Ahr (Altenahr),6.9917626,50.5170617,1349,1349,1942,30,30,,,,,אהר,,,,BLACK DEATH - JewishEncyclopedia.com,,,
Germany,Ahrweiler,7.1048516,50.5422268,1349,1349,1942,30,30,,,,,ארווילר,,,,BLACK DEATH - JewishEncyclopedia.com,,,
Germany,Ahrweiler,7.1048516,50.5422268,1200,1200,1942,30,30,,,,,אהרווילר ,,,,https://www.jewishvirtuallibrary.org/ahrweiler,,,
Austria,Aichbach,11.1333487,48.4586982,1349,1349,1942,30,30,,,,,אייכבאך,,,,BLACK DEATH - JewishEncyclopedia.com,,,
France,Aiguebelle (Val-d'Arc),6.306081,45.543401,0,,1942,30,30,,,,,אֶגבֶּל,,,,SAVOY - JewishEncyclopedia.com,,,
Germany,Ailingen,9.4920955,47.688522,1349,1349,1942,30,30,,,,,אילינגן,,,,BLACK DEATH - JewishEncyclopedia.com,(AACHEN),-,JewishEncyclopedia.com
France,Aix-en-Provence,5.4474738,43.5298424,1283,1283,1942,30,30,,,,,אקס-אנ-פרובנס,"אייגש , אייגייש",,,https://www.jewishvirtuallibrary.org/aix-en-provence,,,
France,Albi,2.147899,43.9277552,0,,1942,30,30,,,,,אלבי,,,,https://www.jewishencyclopedia.com/articles/1085-alby-albi,,,
France,Albi,2.147899,43.9277552,0,,1942,30,30,,,,,אלבי,,,,https://www.jewishvirtuallibrary.org/albi,,,
Germany,Aldenhoven,6.28333,50.9,1349,1349,1942,30,30,,,,,אלדנהובן ,,,,BLACK DEATH - JewishEncyclopedia.com,,,
France,"Alès ,Alez, Alais",4.08082,44.12489,0,,1942,30,30,,,,,אלס,אַלִיץ,,,https://www.jewishvirtuallibrary.org/als-jewish-virtual-library,,,
Germany,Alken,5.289834,50.877283,1349,1349,1942,30,30,,,,,אלקן,,,,BLACK DEATH - JewishEncyclopedia.com,,,
Germany,Alzey,8.11513,49.74657,1349,1349,1942,30,30,,,,,אלציי,,,,BLACK DEATH - JewishEncyclopedia.com,,,
Germany,Alzey,8.11513,49.74657,1260,1260,1942,30,30,,,,,אלציי,,,,https://www.jewishvirtuallibrary.org/alzey,,,
Germany,Amberg,11.8665144,49.4398301,1280,1280,1942,30,30,,,,,אמברג,,,,https://www.jewishvirtuallibrary.org/amberg,,,
Germany,Amorbach,9.2164673,49.6430857,1349,1349,1942,30,30,,,,,אמורבך,,,,BLACK DEATH - JewishEncyclopedia.com,,,
Italy,Ancona,13.2187906,43.4801204,967,967,1942,30,30,,,,,אנקונה,,,,https://he.wikipedia.org/wiki/%D7%99%D7%94%D7%93%D7%95%D7%AA_%D7%90%D7%A0%D7%A7%D7%95%D7%A0%D7%94,,,
Germany,Andernach,7.40425,50.43109,1349,1349,1942,30,30,,,,,אנדרנאך,,,,BLACK DEATH - JewishEncyclopedia.com,,,
Germany,Andernach,7.40425,50.43109,1190,1190,1942,30,30,,,,,אנדרנאך,,,,https://www.jewishvirtuallibrary.org/andernach,,,
Germany,Angermünde,13.99924,53.01499,1349,1349,1942,30,30,,,,,אנגרמונדה,,,,BLACK DEATH - JewishEncyclopedia.com,,,
Germany,Ansbach (town),10.5931,49.30481,1349,1349,1942,30,30,,,,,אנסבך,,,,BLACK DEATH - JewishEncyclopedia.com,,,
Germany,Ansbach (village),10.5931,49.30481,1349,1349,1942,30,30,,,,,אנסבך,,,,BLACK DEATH - JewishEncyclopedia.com,,,
